88,0.0016666666
89,0.0013333334
90,0.002
91,0.0013333334
92,0.001
93,0.0016666666
94,0.002
95,0.0013333334
96,0.001
97,0.0016666666
10,0.0029999998
98,0.002
11,0.0023333335
99,0.002
12,0.0023333335
13,0.0023333335
14,0.0026666669
15,0.0026666664
16,0.002
17,0.0016666666
18,0.002
19,0.002
1,0.07733333
2,0.020333333
3,0.018
4,0.0059999996
5,0.0059999996
6,0.005333333
7,0.005333333
8,0.0023333335
9,0.0023333335
20,0.0013333334
21,0.002
22,0.0016666668
23,0.0013333334
24,0.0013333334
25,0.0016666666
26,0.0023333335
27,0.0016666666
28,0.002
29,0.0016666668
30,0.0013333334
31,0.002
32,0.0013333334
33,0.002
34,0.0013333334
35,0.001
36,0.001
37,0.001
38,0.0013333334
39,0.0013333334
40,0.0013333334
41,0.002
42,0.002
43,0.001
44,0.0016666666
45,0.0013333334
46,0.002
47,0.002
48,0.002
49,0.002
50,0.0023333335
51,0.0016666668
52,0.001
53,0.002
54,0.002
55,0.0016666666
56,0.002
57,0.0013333334
58,0.0013333334
59,0.001
60,0.0016666666
61,0.0013333334
62,0.001
63,0.0016666668
64,0.002
65,0.002
66,0.0013333334
67,0.001
68,0.001
69,0.0013333334
70,0.002
71,0.002
72,0.0016666668
73,0.0016666668
74,0.002
75,0.0013333334
76,0.001
77,0.0013333334
78,0.002
79,0.002
100,0.002
80,0.001
81,0.001
82,0.001
83,0.001
84,0.001
85,0.001
86,0.0023333335
87,0.0016666666
